      1 Acinetobacter sp. QHL21
      1 Alphaproteobacteria bacterium
      1 Amycolatopsis sp.
      1 Arthrobacter sp. bA40(2011);Arthrobacter sp. H20
      1 Arthrobacter sp. YIM 602
      1 Bacillaceae bacterium NR40
      1 Bacillus megaterium
      1 Bacillus muralis
      1 Bacillus sp. 5078
      1 Bacillus sp. BWDY-13
      1 Bacillus sp. PSL-5
      1 Bacillus sp. SAUK19-5
      1 bacterium amp-w-45
      1 bacterium BEL C17
      1 bacterium EM-2014-7
      1 bacterium ER-V-3
      1 bacterium NLAE-zl-G259
      1 bacterium NLAE-zl-G506
      1 bacterium SNB-CN6
      1 Brachybacterium sp. MCCC 1A11240
      1 Carnobacterium sp. PL12RED10
      1 Comamonas sp. TV39PF1
      1 Comamonas sp. veravelsponge01
      1 Cupriavidus gilardii
      1 Cupriavidus sp. HMT35
      1 Cupriavidus sp. LOx
      1 Cutibacterium acnes subsp. acnes
      1 Delftia sp. Bac_SG_27
      1 Delftia sp. iEAIC92
      1 Desulfotomaculum sp. ADR22
      1 Enhydrobacter aerosaccus
      1 Enterobacteriaceae bacterium
      1 Enterococcus durans
      1 Escherichia sp. 12
      1 Escherichia sp. daliu
      1 Intrasporangium sp.
      1 Lactobacillus algidus
      1 Lysinibacillus macroides
      1 Massilia sp. TMT4-28
      1 Micrococcus endophyticus
      1 Micrococcus sp. Bac143W4
      1 Micrococcus sp. F31-1
      1 Micrococcus sp. XB53
      1 Micromonospora sp. NEAU-GH10
      1 Mycoplasma sp. BovHM-5
      1 Nocardia sp.
      1 Pelomonas sp.
      1 Pelomonas sp. SG95
      1 Propionibacterium sp. 14(27-11)
      1 Pseudomonas argentinensis;Pseudomonas sp. P72(2011)
      1 Pseudomonas graminis
      1 Pseudomonas helleri
      1 Pseudomonas lini
      1 Pseudomonas plecoglossicida;Pseudomonas sp. VITLAPB;Pseudomonas sp. KPL8
      1 Pseudomonas psychrophila
      1 Pseudomonas savastanoi
      1 Pseudomonas sp. 19jan04;Pseudomonas sp. 1jan05
      1 Pseudomonas sp. 1xTSA12A_D09
      1 Pseudomonas sp. 2l-7(2010)
      1 Pseudomonas sp. 8R6
      1 Pseudomonas sp. B1009
      1 Pseudomonas sp. CL2.13
      1 Pseudomonas sp. DmBR 6
      1 Pseudomonas sp. H50
      1 Pseudomonas sp. HTCC550
      1 Ralstonia solanacearum
      1 Saccharothrix espanaensis;Saccharothrix espanaensis DSM 44229
      1 Shigella sp.
      1 Sphingobium chlorophenolicum
      1 Sphingomonas sp. 14
      1 Sphingomonas sp. 54BI
      1 Sphingomonas sp. AGR1113
      1 Sphingomonas sp. LDB-B117
      1 Sphingomonas sp. VC40;Bradyrhizobiaceae bacterium VC46
      1 Sphingopyxis sp. S01
      1 Staphylococcus equorum
      1 Staphylococcus saprophyticus
      1 Staphylococcus sp. C2I12
      1 Staphylococcus sp. E149
      1 Stenotrophomonas pavanii
      1 Stenotrophomonas sp.
      1 Tomitella biformata
      1 Zymomonas mobilis
      2 Acinetobacter sp. 51
      2 actinobacterium CA10
