      1 Bacillus aerius
      1 Bacillus circulans
      1 Bacillus shackletonii
      1 Bacillus sp. ANL-isoa2
      1 Bacillus sp. B2-4
      1 Bacillus sp. IHB B 3411
      1 Bacillus sp. M71_W05
      1 Bacillus sp. NM6
      1 Bacillus sp. PSu3_17
      1 Bacillus sp. PXY25
      1 Bacillus sp. RKEM 266
      1 Bacillus sp. soil-12
      1 Bacillus subtilis subsp. inaquosorum
      1 bacterium amp-w-45
      1 bacterium BM0395
      1 bacterium JCSHGTNA01-8
      1 bacterium LimC-10-J-85
      1 bacterium M6-36
      1 bacterium OX_D
      1 Cronobacter dublinensis
      1 Desemzia incerta
      1 Enterobacter asburiae
      1 Enterobacter cloacae complex sp.
      1 Enterobacteriaceae bacterium
      1 Enterobacter ludwigii
      1 Enterococcus sp. F57
      1 Enterococcus sp. T0_6
      1 Escherichia fergusonii
      1 Escherichia marmotae
      1 Escherichia sp. EMB 339
      1 Escherichia sp. SOD-7317
      1 Firmicutes bacterium
      1 Gracilibacillus sp.
      1 Lactobacillus sp. rennanqilyf4
      1 Listeria welshimeri
      1 Pantoea agglomerans
      1 Pelagirhabdus alkalitolerans
      1 Peptostreptococcus anaerobius
      1 Pseudomonas nitroreducens
      1 Pseudomonas oleovorans
      1 Pseudomonas otitidis
      1 Pseudomonas sp. 1W
      1 Pseudomonas sp. ADR45
      1 Pseudomonas sp. bIp-2
      1 Pseudomonas sp. BJQ-B3
      1 Pseudomonas sp. BTLbbc-05
      1 Pseudomonas sp. cpx
      1 Pseudomonas sp. F24
      1 Pseudomonas sp. Hg6
      1 Pseudomonas sp. HPC1260
      1 Pseudomonas sp. Oy-Go5
      1 Pseudomonas sp. SO5.5
      1 Staphylococcus sp. ChDC B590
      1 Staphylococcus warneri
      2 Alcaligenes faecalis
      2 Bacillus sp. PSu5_8
      2 Bacillus sp. S21213
      2 Bacillus sp. ZH-42
      2 Bacillus tequilensis
      2 bacterium NLAE-zl-G506
      2 Enterococcus sp. BGTRS1-35
      2 Escherichia coli O157
      2 Klebsiella oxytoca
      2 Lactobacillus sp. T17/4F
      2 Pseudomonas citronellolis
      2 Pseudomonas mosselii
      2 Pseudomonas segetis
      2 Pseudomonas sp. LB211
      2 Pseudomonas sp. XT-38
      2 Salmonella enterica subsp. enterica serovar Bonn
      2 Salmonella enterica subsp. enterica serovar Farsta
      2 Staphylococcus cohnii
      2 Staphylococcus equorum
      2 Staphylococcus sp. sw0106-31
      3 Bacillus sp. MN07-11
      3 Enterobacter sp.
      3 Enterococcus sp.
      3 Rhizobium leguminosarum
      3 Salmonella sp. Sal1209
      3 Salmonella sp. Trautman ave_2007_09
      3 Staphylococcus gallinarum
      3 Trabulsiella odontotermitis
      4 Bacillus halotolerans
      4 Bacillus seohaeanensis
      4 Bacillus sp. BAB-5113
      4 bacterium endosymbiont of Onthophagus Taurus
      4 Carnobacterium maltaromaticum
      4 Enterobacter sp. JA20
      4 Enterococcus faecalis OG1RF
      4 Listeria innocua
      4 Shigella sp.
      4 Staphylococcus simulans
      5 Bacillus mojavensis
      5 Listeria grayi
      5 Pseudomonas sp. c306
      5 Salmonella enterica subsp. enterica serovar Pullorum
      5 Salmonella enterica subsp. enterica serovar Singapore
      6 Cronobacter sakazakii
      6 Jeotgalibacillus campisalis
      6 Pseudomonas stutzeri
      6 Salmonella sp.
      7 Citrobacter freundii
      7 Gracilibacillus dipsosauri
      7 Salmonella enterica subsp. enterica serovar Kentucky
      7 Salmonella enterica subsp. enterica serovar Newport str. Levine 15
      8 Lactobacillus delbrueckii
      8 Lactobacillus sp.
      9 Pseudomonas sp. BUP6
     10 Enterococcus faecium
     10 Pseudomonas sp. MDAZOXVIE199c
     10 Shigella sonnei
     10 Staphylococcus saprophyticus subsp. saprophyticus
     10 Staphylococcus sp. NCCP-536
     11 Salmonella enterica
     12 Bacillus licheniformis
     14 Bacillus marisflavi
     14 Escherichia coli O55:H7 str. CB9615
     14 Escherichia coli str. 'clone D i14'
     14 Salmonella enterica subsp. enterica serovar Typhi str. Ty2
     14 Shigella flexneri 2a
     14 Staphylococcus felis
     15 Salmonella enterica subsp. enterica serovar Typhimurium
     15 Vagococcus humatus
     16 bacterium
     20 Enterobacter cloacae
     21 Bacillus subtilis subsp. stercoris
     21 Escherichia coli ATCC 25922
     21 Salmonella enterica subsp. arizonae
     22 Pseudomonas sp.
     24 Pseudomonas putida
     25 Staphylococcus sp. V41-PCA-E14
     30 Bacillus subtilis subsp. subtilis
     36 Staphylococcus sp.
     42 Salmonella enterica subsp. enterica serovar Enteritidis
     50 Bacillus sp. M4U3P1
     50 Shigella flexneri
     56 Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S
     70 Salmonella enterica subsp. enterica
    140 Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008
    169 Salmonella enterica subsp. enterica serovar Kaapstad
    196 Shigella flexneri 5a str. M90T
    384 Pseudomonas aeruginosa
    575 Bacillus sp. (in: Bacteria)
    772 Enterococcus faecalis
   1111 Staphylococcus aureus subsp. aureus
   1244 Lactobacillus fermentum
   1722 Bacillus subtilis
   2397 Escherichia coli
   4222 Staphylococcus aureus
   4763 Listeria monocytogenes
   5910 Salmonella enterica subsp. enterica serovar Indiana
