      1 Bacillus aerius
      1 Bacillus sp. B-2
      1 Bacillus sp. B20
      1 Bacillus sp. B2-4
      1 Bacillus sp. BAB-4857
      1 Bacillus sp. COMJU-MH01-13
      1 Bacillus sp. PSu5_41
      1 Bacillus sp. PYD-3
      1 Bacillus sp. S21213
      1 Bacillus sp. ZH-42
      1 bacterium CC-1 ASCBAC
      1 bacterium NLAE-zl-H107
      1 Citrobacter amalonaticus
      1 Cronobacter dublinensis
      1 Cronobacter sp. HKC517
      1 Enterobacteriaceae bacterium
      1 Enterobacter ludwigii
      1 Escherichia sp. EMB 339
      1 Escherichia sp. SOD-7317
      1 Klebsiella oxytoca
      1 Lactobacillus sp. T17/4F
      1 Leclercia adecarboxylata
      1 Mycoplasma wenyonii
      1 Pelagirhabdus alkalitolerans
      1 Pseudomonas mosselii
      1 Pseudomonas nitroreducens
      1 Pseudomonas sp. c306
      1 Pseudomonas sp. F24
      1 Pseudomonas sp. LB211
      1 Pseudomonas sp. SO5.5
      1 Pseudomonas sp. SRZ19
      1 Pseudomonas sp. TB23
      1 Salmonella enterica subsp. enterica serovar Paratyphi B
      1 Salmonella sp. C12
      1 Salmonella sp. Trautman ave_2007_09
      1 Staphylococcus equorum
      1 Streptomyces indiaensis
      1 unidentified
      2 Bacillus mojavensis
      2 Bacillus sp. IHB B 3411
      2 Bacillus sp. RKEM 266
      2 bacterium amp-w-45
      2 bacterium BM0395
      2 Citrobacter freundii
      2 Cronobacter sakazakii
      2 Enterobacter sp. JA11
      2 Escherichia fergusonii
      2 Pseudomonas otitidis
      2 Pseudomonas segetis
      2 Pseudomonas sp. 1W
      2 Pseudomonas sp. 7021
      2 Pseudomonas sp. M24
      2 Pseudomonas sp. SD12(2010)
      2 Rhizobium leguminosarum
      2 Salmonella sp. 812
      2 Shigella sp.
      2 Staphylococcus gallinarum
      2 Staphylococcus sp. sw0106-31
      2 swine manure bacterium RT-5D
      2 Trabulsiella odontotermitis
      3 Bacillus pumilus
      3 Bacillus sp. B2-7
      3 Bacillus sp. PSu3_17
      3 bacterium
      3 bacterium endosymbiont of Onthophagus Taurus
      3 bacterium JCSHGTNA01-8
      3 Enterobacter asburiae
      3 Enterobacter cloacae complex sp.
      3 Enterobacter sp.
      3 Enterococcus sp. F57
      3 Firmicutes bacterium
      3 Jeotgalibacillus campisalis
      3 Listeria innocua
      3 Pseudomonas oleovorans
      3 Salmonella enterica subsp. enterica serovar Kentucky
      4 Alcaligenes faecalis
      4 Bacillus halotolerans
      4 Bacillus subtilis subsp. inaquosorum
      4 Bacillus tequilensis
      4 Enterobacter sp. GDR05
      4 Enterococcus faecalis OG1RF
      4 Enterococcus sp. BGTRS1-35
      4 Escherichia coli O157
      4 Listeria seeligeri
      4 Pseudomonas sp. BUP6
      4 Pseudomonas sp. XT-38
      4 Staphylococcus sp. NCCP-536
      5 Bacillus circulans
      5 Enterobacter sp. JA20
      5 Pseudomonas stutzeri
      5 Salmonella enterica subsp. enterica serovar Singapore
      6 Enterococcus faecium
      6 Listeria grayi
      6 Salmonella enterica subsp. enterica serovar Bonn
      7 Citrobacter koseri
      7 Escherichia albertii
      7 Escherichia coli O103:H2
      7 Escherichia coli O157:H7 str. SS17
      8 Bacillus marisflavi
      8 Lactobacillus delbrueckii
      8 Lactobacillus sp.
      8 Salmonella enterica subsp. enterica serovar Typhimurium
      8 Salmonella sp.
      8 Staphylococcus saprophyticus subsp. saprophyticus
      9 Salmonella enterica subsp. enterica serovar Pullorum
      9 Shigella boydii
     10 Bacillus subtilis subsp. subtilis str. 168
     11 Bacillus seohaeanensis
     13 Carnobacterium maltaromaticum
     14 Escherichia coli O55:H7 str. CB9615
     14 Gracilibacillus dipsosauri
     14 Salmonella enterica subsp. enterica serovar Enteritidis
     14 Salmonella enterica subsp. enterica serovar Newport str. Levine 15
     14 Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S
     14 Shigella flexneri 2a
     16 Shigella sonnei
     17 Bacillus licheniformis
     18 Staphylococcus sp. V41-PCA-E14
     19 Enterobacter cloacae
     19 Pseudomonas sp. MDAZOXVIE199c
     19 Vagococcus humatus
     20 Listeria monocytogenes serotype 4b str. 02-1792
     21 Escherichia coli ATCC 25922
     21 Salmonella enterica subsp. enterica serovar Brancaster
     21 Staphylococcus felis
     23 Pseudomonas putida
     26 Pseudomonas sp.
     29 Salmonella enterica
     32 Bacillus subtilis subsp. stercoris
     49 Staphylococcus sp.
     50 Bacillus sp. M4U3P1
     56 Escherichia coli str. 'clone D i14'
     67 Shigella flexneri
     70 Bacillus subtilis subsp. subtilis
    118 Salmonella enterica subsp. enterica
    175 Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120008
    188 Salmonella enterica subsp. enterica serovar Kaapstad
    224 Shigella flexneri 5a str. M90T
    378 Pseudomonas aeruginosa
    636 Bacillus sp. (in: Bacteria)
    854 Enterococcus faecalis
   1122 Staphylococcus aureus subsp. aureus
   1350 Lactobacillus fermentum
   2146 Bacillus subtilis
   2490 Escherichia coli
   4796 Staphylococcus aureus
   5248 Listeria monocytogenes
   6212 Salmonella enterica subsp. enterica serovar Indiana
