      1 Acinetobacter johnsonii
      1 Actinomyces israelii
      1 Bacillaceae bacterium AM5(2012)
      1 Bacillus butanolivorans
      1 Bacillus fordii
      1 Bacillus ginsengisoli
      1 Bacillus sp. 5073
      1 Bacillus sp. 728KF
      1 Bacillus sp. A23MC2
      1 Bacillus sp. JL6
      1 Bacillus sp. KBC-JUNE-E-9F
      1 Bacillus sp. P51-5
      1 Bacillus sp. PSL-5
      1 Bacillus subtilis;Bacillus sp. B18;Bacillus sp. FZ-3
      1 bacterium BM0395
      1 bacterium endosymbiont of Onthophagus Taurus
      1 Bhargavaea sp.
      1 Brevibacterium sp. NCCP-618
      1 Carnobacteriaceae bacterium CL2.8
      1 Corynebacterium sp.
      1 Corynebacterium sp. Cip10
      1 Corynebacterium sundsvallense
      1 Delftia sp.
      1 Delftia sp. 6(1-1)(5.22)
      1 Delftia sp. SS12.34
      1 Enhydrobacter sp. R-37587
      1 gamma proteobacterium I6E2_057;gamma proteobacterium I3E4_023;gamma proteobacterium I3L5_053;gamma proteobacterium I4K5_040;gamma proteobacterium I5L4_038;gamma proteobacterium I2K5_034;gamma proteobacterium I7K3_022
      1 Kocuria varians
      1 Lelliottia amnigena
      1 Lysinibacillus macroides
      1 Massilia aurea
      1 Methylothermus subterraneus
      1 Micrococcus aloeverae
      1 Micrococcus sp. BG-9-R5
      1 Micrococcus sp. BYC1
      1 Micrococcus sp. G2SM2
      1 Micrococcus sp. GPM2602
      1 Micrococcus sp. PASCW5
      1 Micrococcus sp. SVUB11
      1 Micrococcus sp. XB53
      1 Photobacterium phosphoreum
      1 Propionibacterium sp. 14(27-11)
      1 Pseudomonas helleri
      1 Pseudomonas helmanticensis
      1 Pseudomonas mandelii
      1 Pseudomonas marginalis
      1 Pseudomonas sp. A1037
      1 Pseudomonas sp. A2102
      1 Pseudomonas sp. B1077
      1 Pseudomonas sp. B3063
      1 Pseudomonas sp. CL1.147
      1 Pseudomonas sp. H50
      1 Pseudomonas sp. Pd1T
      1 Pseudomonas sp. W14
      1 Pseudomonas syringae
      1 Pseudomonas syringae pv. apii
      1 Pseudomonas tolaasii
      1 Salmonella enterica subsp. enterica serovar Pullorum
      1 Streptococcus infantis
      1 Streptococcus mutans
      1 Streptomyces sp. 0714K10-2
      2 Ammotragus lervia
      2 Bacillus megaterium
      2 Bacillus sp. B2101
      2 Bacillus sp. CSu3_44
      2 Bacillus sp. Is4
      2 Bacillus sp. P1_1_5
      2 bacterium ER-V-3
      2 Enhydrobacter sp. R-45686
      2 Escherichia sp. SOD-7317
      2 Luteimonas aestuarii
      2 marine sponge bacterium LIQUIDt167
      2 Micrococcus cohnii
      2 Micrococcus endophyticus
      2 Micrococcus sp. GWS-BW-H231
      2 Moraxella sp. 30C(2010);Moraxella sp. 24B(2010)
      2 Propionibacterium sp. B12
      2 Pseudomonas savastanoi
      2 Pseudomonas sp. A2
      2 Pseudomonas sp. B2047
      2 Pseudomonas sp. II-09
      2 Pseudomonas sp. Is3
      2 Pseudomonas sp. PDD-59b-12
      2 Sporosarcina sp.
      2 Streptococcus sp. I-P16
      2 Streptomyces sp.
      3 Bacillus sp. 5075
      3 Bacillus sp. B1065
      3 Bacillus sp. LR90
      3 Escherichia fergusonii
      3 Janthinobacterium lividum
      3 Knoellia sp.
      3 Micrococcus sp. LBRF-6
      3 Pseudomonadales bacterium HD-C-02-3
      3 Pseudomonas sp. 8R6
      3 Pseudomonas tremae
      3 Shigella sonnei
      3 Streptococcus gordonii
