      1 Acinetobacter haemolyticus
      1 Actinomycetales bacterium JH322
      1 Aerococcus sp.
      1 Aerococcus viridans
      1 Bacillus megaterium
      1 Bacillus sp. 3068
      1 Bacillus sp. 5075
      1 Bacillus sp. 5078
      1 Bacillus sp. 728KF
      1 Bacillus sp. B1005
      1 Bacillus sp. B1065
      1 Bacillus sp. Bt11 OTU2
      1 Bacillus sp. Is4
      1 Bacillus sp. MZ0318B
      1 Bacillus sp. MZ031G
      1 Bacillus sp. PSL-5
      1 bacterium BM0395
      1 bacterium endosymbiont of Onthophagus Taurus
      1 bacterium ER-V-3
      1 bacterium hswx90
      1 bacterium NLAE-zl-G330
      1 bacterium NLAE-zl-H170
      1 bacterium WM06i_A5D
      1 Brachybacterium paraconglomeratum
      1 Brachybacterium squillarum
      1 Brevibacterium sp. EB7(2012)
      1 Cutibacterium acnes subsp. acnes
      1 Delftia sp. 6(4-10)(10.5.11)
      1 Delftia sp. SS12.34
      1 Enterobacter sp. GDR05
      1 Enterococcus mundtii
      1 Escherichia fergusonii;Pseudescherichia vulneris
      1 Firmicutes bacterium AT-MI-02
      1 gamma proteobacterium I6E2_057;gamma proteobacterium I3E4_023;gamma proteobacterium I3L5_053;gamma proteobacterium I4K5_040;gamma proteobacterium I5L4_038;gamma proteobacterium I2K5_034;gamma proteobacterium I7K3_022
      1 Janibacter sp. 0711C1-5
      1 Janthinobacterium sp.
      1 Klebsiella oxytoca
      1 Lechevalieria sp.
      1 Leuconostoc gelidum subsp. gasicomitatum
      1 Micrococcus endophyticus
      1 Micrococcus sp. CCB4F
      1 Micrococcus sp. GWS-BW-H231
      1 Micrococcus sp. HPC 925
      1 Micrococcus sp. PASCW5
      1 Prevotella oulorum
      1 Pseudomonas brenneri
      1 Pseudomonas helmanticensis
      1 Pseudomonas orientalis
      1 Pseudomonas rhodesiae
      1 Pseudomonas sp. 219(121zx)
      1 Pseudomonas sp. 226
      1 Pseudomonas sp. 2l-7(2010)
      1 Pseudomonas sp. 4-66
      1 Pseudomonas sp. A2B7
      1 Pseudomonas sp. Ara7
      1 Pseudomonas sp. Arv-21-2.3
      1 Pseudomonas sp. B3078
      1 Pseudomonas sp. CR8
      1 Pseudomonas sp. DmBR 6
      1 Pseudomonas sp. G1304
      1 Pseudomonas sp. JA4(2012)
      1 Pseudomonas sp. Nj-60
      1 Pseudomonas sp. oral taxon C84
      1 Pseudomonas sp. PDD-60b-1
      1 Pseudomonas sp. S1007
      1 Pseudomonas tolaasii
      1 Pseudomonas veronii
      1 Shigella dysenteriae
      1 Sphingomonas echinoides
      1 Sphingomonas phyllosphaerae
